MANDT,AGR_NAME,COUNTER,PROFILE,VARIANT,GENERATED,PSTATE
001,SAP_BC_SRV_DX_ADMIN,000001,T_BE111629,,X,A
001,SAP_BC_SRV_DX_MANAGER,000001,T_BE111628,,X,A
001,SAP_BC_SRV_EDI_ADMIN,000001,T_BA800115,,X,
001,SAP_BC_SRV_EDI_DEVELOPER,000001,T_BA800114,,X,
001,SAP_BC_SRV_FORM_PRINTING,000001,T_BE060024,,X,
001,SAP_BC_SRV_KPR_ADMIN,000001,T_BA800107,,X,
001,SAP_BC_SRV_PCO_BS_INT_ADMIN,000001,T_Y3670101,,X,A
001,SAP_BC_SRV_PCO_BS_INT_USER,000001,T_Y3670100,,X,A
001,SAP_BC_SRV_PPF_ADMIN,000001,T_BA800080,,X,
001,SAP_BC_STC_AUTHOR,000001,T_Y3670204,,X,A
001,SAP_BC_STC_CUST,000001,T_Y3670269,,X,A
001,SAP_BC_STC_DISPLAY,000001,T_Y3670207,,X,A
001,SAP_BC_STC_REMOTE,000001,T_Y3670213,,X,A
001,SAP_BC_STC_REORG,000001,T_Y3670212,,X,A
001,SAP_BC_STC_USER,000001,T_Y3670206,,X,A
001,SAP_BC_STWB_1_ALL,000001,T_BE112945,,X,
001,SAP_BC_STWB_1_DIS,000001,T_BE112946,,X,
001,SAP_BC_STWB_2_ALL,000001,T_BE112947,,X,
001,SAP_BC_STWB_2_DIS,000001,T_BE112948,,X,
001,SAP_BC_STWB_INFO_ALL,000001,T_BE112951,,X,
001,SAP_BC_STWB_INFO_DIS,000001,T_BE112952,,X,
001,SAP_BC_STWB_SET_ALL,000001,T_BE112953,,X,
001,SAP_BC_STWB_WORK_ALL,000001,T_BE112949,,X,
001,SAP_BC_STWB_WORK_DIS,000001,T_BE112950,,X,
001,SAP_BC_S_DBCON_ADMIN,000001,T_Y3670211,,X,
001,SAP_BC_S_DBCON_USER,000001,T_Y3670210,,X,
001,SAP_BC_TC_DEVELOP_ALL,000001,T_BE112943,,X,
001,SAP_BC_TC_DEVELOP_DIS,000001,T_BE112944,,X,
001,SAP_BC_TRANSPORT_ADMINISTRATOR,000001,T_BA800078,,X,
001,SAP_BC_TRANSPORT_OPERATOR,000001,T_BA800096,,X,
001,SAP_BC_TREX_ADMIN,000001,T_YA670150,,X,A
001,SAP_BC_UI_SFSF_USER,000001,T_Y3670471,,X,A
001,SAP_BC_USR_CUA_CENTRAL,000001,T_LA930072,,X,
