MANDT,PROFN,AKTPS,SUBPROF
001,S_DDIC05Z,A,S_TABL05Z
001,S_DDIC06,A,S_DDIC_AEW
001,S_DDIC06,A,S_ENQU06
001,S_DDIC06,A,S_MCID06
001,S_DDIC06,A,S_MCOB06
001,S_DDIC06,A,S_VIEW06
001,S_DDIC06Z,A,S_DDIC_AEW
001,S_DDIC06Z,A,S_ENQU06Z
001,S_DDIC06Z,A,S_MCID06Z
001,S_DDIC06Z,A,S_MCOB06Z
001,S_DDIC06Z,A,S_VIEW06Z
001,S_DDIC07,A,S_DDIC_AEW
001,S_DDIC07,A,S_ENQU07
001,S_DDIC07,A,S_MCID07
001,S_DDIC07,A,S_MCOB07
001,S_DDIC07,A,S_VIEW07
001,S_DDIC07Z,A,S_DDIC_AEW
001,S_DDIC07Z,A,S_ENQU07Z
001,S_DDIC07Z,A,S_MCID07Z
001,S_DDIC07Z,A,S_MCOB07Z
001,S_DDIC07Z,A,S_VIEW07Z
001,S_DDIC08,A,S_DDIC_AEW
001,S_DDIC08,A,S_ENQU08
001,S_DDIC08,A,S_MCID08
001,S_DDIC08,A,S_MCOB08
001,S_DDIC08,A,S_VIEW08
001,S_DDIC08Z,A,S_DDIC_AEW
001,S_DDIC08Z,A,S_ENQU08Z
001,S_DDIC08Z,A,S_MCID08Z
001,S_DDIC08Z,A,S_MCOB08Z
001,S_DDIC08Z,A,S_VIEW08Z
001,S_DDIC09,A,S_DDIC_AEW
001,S_DDIC09,A,S_ENQU09
001,S_DDIC09,A,S_MCID09
001,S_DDIC09,A,S_MCOB09
001,S_DDIC09,A,S_VIEW09
001,S_DDIC09DB,A,S_DDIC_AEW
001,S_DDIC09DB,A,S_ENQU09
001,S_DDIC09DB,A,S_MCID09DB
001,S_DDIC09DB,A,S_MCOB09DB
001,S_DDIC09DB,A,S_VIEW09DB
001,S_DDIC09Z,A,S_DDIC_AEW
001,S_DDIC09Z,A,S_ENQU09Z
001,S_DDIC09Z,A,S_MCID09Z
001,S_DDIC09Z,A,S_MCOB09Z
001,S_DDIC09Z,A,S_VIEW09Z
001,S_DDIC09ZDB,A,S_DDIC_AEW
001,S_DDIC09ZDB,A,S_ENQU09Z
001,S_DDIC09ZDB,A,S_MCID09ZDB
001,S_DDIC09ZDB,A,S_MCOB09ZDB
001,S_DDIC09ZDB,A,S_VIEW09ZDB
001,S_DDIC10,A,S_DDIC_AEW
001,S_DDIC10,A,S_ENQU10
001,S_DDIC10,A,S_MCID10
001,S_DDIC10,A,S_MCOB10
001,S_DDIC10,A,S_VIEW10
001,S_DDIC10Z,A,S_DDIC_AEW
001,S_DDIC10Z,A,S_ENQU10Z
001,S_DDIC10Z,A,S_MCID10Z
001,S_DDIC10Z,A,S_MCOB10Z
001,S_DDIC10Z,A,S_VIEW10Z
001,S_DDIC11,A,S_DDIC_AEW
001,S_DDIC11,A,S_INDX01
001,S_DDIC11,A,S_SQLT01
001,S_DDIC11Z,A,S_DDIC_AEW
001,S_DDIC11Z,A,S_INDX01Z
001,S_DDIC11Z,A,S_SQLT01Z
001,S_DDIC12,A,S_DDIC_AEW
001,S_DDIC12,A,S_INDX02
001,S_DDIC12,A,S_SQLT02
001,S_DDIC12Z,A,S_DDIC_AEW
001,S_DDIC12Z,A,S_INDX02Z
001,S_DDIC12Z,A,S_SQLT02Z
001,S_DDIC13,A,S_DDIC_AEW
001,S_DDIC13,A,S_INDX03
001,S_DDIC13,A,S_SQLT03
001,S_DDIC13Z,A,S_DDIC_AEW
001,S_DDIC13Z,A,S_INDX03Z
001,S_DDIC13Z,A,S_SQLT03Z
001,S_DDIC14,A,S_DDIC_AEW
001,S_DDIC14,A,S_INDX04
001,S_DDIC14,A,S_SQLT04
001,S_DDIC14DB,A,S_DDIC_AEW
001,S_DDIC14DB,A,S_INDX04DB
001,S_DDIC14DB,A,S_SQLT04DB
001,S_DDIC14Z,A,S_DDIC_AEW
001,S_DDIC14Z,A,S_INDX04Z
001,S_DDIC14Z,A,S_SQLT04Z
001,S_DDIC14ZDB,A,S_DDIC_AEW
001,S_DDIC14ZDB,A,S_INDX04ZDB
001,S_DDIC14ZDB,A,S_SQLT04ZDB
001,S_DDIC15,A,S_DDIC_AEW
001,S_DDIC15,A,S_INDX05
001,S_DDIC15,A,S_SQLT05
001,S_DDIC15DB,A,S_DDIC_AEW
001,S_DDIC15DB,A,S_INDX05DB
001,S_DDIC15DB,A,S_SQLT05DB
001,S_DDIC15Z,A,S_DDIC_AEW
001,S_DDIC15Z,A,S_INDX05Z
001,S_DDIC15Z,A,S_SQLT05Z
001,S_DDIC15ZDB,A,S_DDIC_AEW
001,S_DDIC15ZDB,A,S_INDX05ZDB
001,S_DDIC15ZDB,A,S_SQLT05ZDB
001,S_DDIC16,A,S_DDIC_AEW
001,S_DDIC16,A,S_INDX06
001,S_DDIC16,A,S_SQLT06
001,S_DDIC16Z,A,S_DDIC_AEW
001,S_DDIC16Z,A,S_INDX06Z
001,S_DDIC16Z,A,S_SQLT06Z
001,S_DMOD01,A,S_DDIC_AEW
001,S_DMOD01,A,S_UDMO01
001,S_DMOD01,A,S_UENO01
