RISK_RATING_ID,CONSEQUENCE,LIKELIHOOD,C_X_L,CL,DEFAULT_MATRIX_RATING,RANGE,DEFAULT_RISK_CLASSIFICATION,DEFAULT_RISK_RANGE
01,1,1,1,11,Low 01,01,Low,Low 01
02,1,1,1,11,Low 02,02,Low,Low 02
03,1,1,1,11,Low 03,03,Low,Low 03
04,1,1,1,11,Low 04,04,Low,Low 04
05,1,1,1,11,Low 05,05,Low,Low 05
06,1,1,1,11,Low 06,06,Low,Low 06
07,1,1,1,11,Low 07,07,Low,Low 07
08,1,1,1,11,Low 08,08,Low,Low 08
09,1,1,1,11,Low 09,09,Low,Low 09
10,1,1,1,11,Low 10,10,Low,Low 10
11,1,2,2,12,Low 11,01,Low,Low 01
12,1,2,2,12,Low 12,02,Low,Low 02
13,1,2,2,12,Low 13,03,Low,Low 03
14,1,2,2,12,Low 14,04,Low,Low 04
15,1,2,2,12,Low 15,05,Low,Low 05
16,1,2,2,12,Low 16,06,Low,Low 06
17,1,2,2,12,Low 17,07,Low,Low 07
18,1,2,2,12,Low 18,08,Low,Low 08
19,1,2,2,12,Low 19,09,Low,Low 09
20,1,2,2,12,Low 20,10,Low,Low 10
21,1,3,3,13,Low 21,01,Low,Low 01
22,1,3,3,13,Low 22,02,Low,Low 02
23,1,3,3,13,Low 23,03,Low,Low 03
24,1,3,3,13,Low 24,04,Low,Low 04
25,1,3,3,13,Low 25,05,Low,Low 05
26,1,3,3,13,Low 26,06,Low,Low 06
27,1,3,3,13,Low 27,07,Low,Low 07
28,1,3,3,13,Low 28,08,Low,Low 08
29,1,3,3,13,Low 29,09,Low,Low 09
30,1,3,3,13,Low 30,10,Low,Low 10
31,1,4,4,14,Low 31,01,Low,Low 01
32,1,4,4,14,Low 32,02,Low,Low 02
33,1,4,4,14,Low 33,03,Low,Low 03
34,1,4,4,14,Low 34,04,Low,Low 04
35,1,4,4,14,Low 35,05,Low,Low 05
36,1,4,4,14,Low 36,06,Low,Low 06
37,1,4,4,14,Low 37,07,Low,Low 07
38,1,4,4,14,Low 38,08,Low,Low 08
39,1,4,4,14,Low 39,09,Low,Low 09
40,1,4,4,14,Low 40,10,Low,Low 10
41,1,5,5,15,Low 41,01,Low,Low 01
42,1,5,5,15,Low 42,02,Low,Low 02
43,1,5,5,15,Low 43,03,Low,Low 03
44,1,5,5,15,Low 44,04,Low,Low 04
45,1,5,5,15,Low 45,05,Low,Low 05
46,1,5,5,15,Low 46,06,Low,Low 06
47,1,5,5,15,Low 47,07,Low,Low 07
48,1,5,5,15,Low 48,08,Low,Low 08
49,1,5,5,15,Low 49,09,Low,Low 09
50,1,5,5,15,Low 50,10,Low,Low 10
51,2,1,2,21,Low 51,01,Low,Low 01
52,2,1,2,21,Low 52,02,Low,Low 02
53,2,1,2,21,Low 53,03,Low,Low 03
54,2,1,2,21,Low 54,04,Low,Low 04
55,2,1,2,21,Low 55,05,Low,Low 05
56,2,1,2,21,Low 56,06,Low,Low 06
57,2,1,2,21,Low 57,07,Low,Low 07
58,2,1,2,21,Low 58,08,Low,Low 08
59,2,1,2,21,Low 59,09,Low,Low 09
60,2,1,2,21,Low 60,10,Low,Low 10
61,2,2,4,22,Low 61,01,Low,Low 01
62,2,2,4,22,Low 62,02,Low,Low 02
63,2,2,4,22,Low 63,03,Low,Low 03
64,2,2,4,22,Low 64,04,Low,Low 04
65,2,2,4,22,Low 65,05,Low,Low 05
66,2,2,4,22,Low 66,06,Low,Low 06
67,2,2,4,22,Low 67,07,Low,Low 07
68,2,2,4,22,Low 68,08,Low,Low 08
69,2,2,4,22,Low 69,09,Low,Low 09
70,2,2,4,22,Low 70,10,Low,Low 10
71,2,3,6,23,Moderate 71,01,Moderate,Moderate 01
72,2,3,6,23,Moderate 72,02,Moderate,Moderate 02
73,2,3,6,23,Moderate 73,03,Moderate,Moderate 03
74,2,3,6,23,Moderate 74,04,Moderate,Moderate 04
75,2,3,6,23,Moderate 75,05,Moderate,Moderate 05
76,2,3,6,23,Moderate 76,06,Moderate,Moderate 06
77,2,3,6,23,Moderate 77,07,Moderate,Moderate 07
78,2,3,6,23,Moderate 78,08,Moderate,Moderate 08
79,2,3,6,23,Moderate 79,09,Moderate,Moderate 09
80,2,3,6,23,Moderate 80,10,Moderate,Moderate 10
81,2,4,8,24,Moderate 81,01,Moderate,Moderate 01
82,2,4,8,24,Moderate 82,02,Moderate,Moderate 02
83,2,4,8,24,Moderate 83,03,Moderate,Moderate 03
84,2,4,8,24,Moderate 84,04,Moderate,Moderate 04
85,2,4,8,24,Moderate 85,05,Moderate,Moderate 05
86,2,4,8,24,Moderate 86,06,Moderate,Moderate 06
87,2,4,8,24,Moderate 87,07,Moderate,Moderate 07
88,2,4,8,24,Moderate 88,08,Moderate,Moderate 08
89,2,4,8,24,Moderate 89,09,Moderate,Moderate 09
90,2,4,8,24,Moderate 90,10,Moderate,Moderate 10
91,2,5,10,25,Moderate 91,01,Moderate,Moderate 01
92,2,5,10,25,Moderate 92,02,Moderate,Moderate 02
93,2,5,10,25,Moderate 93,03,Moderate,Moderate 03
94,2,5,10,25,Moderate 94,04,Moderate,Moderate 04
95,2,5,10,25,Moderate 95,05,Moderate,Moderate 05
96,2,5,10,25,Moderate 96,06,Moderate,Moderate 06
97,2,5,10,25,Moderate 97,07,Moderate,Moderate 07
98,2,5,10,25,Moderate 98,08,Moderate,Moderate 08
99,2,5,10,25,Moderate 99,09,Moderate,Moderate 09
100,2,5,10,25,Moderate 100,10,Moderate,Moderate 10
101,3,1,3,31,Moderate 101,01,Moderate,Moderate 01
102,3,1,3,31,Moderate 102,02,Moderate,Moderate 02
103,3,1,3,31,Moderate 103,03,Moderate,Moderate 03
104,3,1,3,31,Moderate 104,04,Moderate,Moderate 04
105,3,1,3,31,Moderate 105,05,Moderate,Moderate 05
106,3,1,3,31,Moderate 106,06,Moderate,Moderate 06
107,3,1,3,31,Moderate 107,07,Moderate,Moderate 07
108,3,1,3,31,Moderate 108,08,Moderate,Moderate 08
109,3,1,3,31,Moderate 109,09,Moderate,Moderate 09
110,3,1,3,31,Moderate 110,10,Moderate,Moderate 10
111,3,2,6,32,High 111,01,High,High 01
112,3,2,6,32,High 112,02,High,High 02
113,3,2,6,32,High 113,03,High,High 03
114,3,2,6,32,High 114,04,High,High 04
115,3,2,6,32,High 115,05,High,High 05
116,3,2,6,32,High 116,06,High,High 06
117,3,2,6,32,High 117,07,High,High 07
118,3,2,6,32,High 118,08,High,High 08
119,3,2,6,32,High 119,09,High,High 09
120,3,2,6,32,High 120,10,High,High 10
121,3,3,9,33,High 121,01,High,High 01
122,3,3,9,33,High 122,02,High,High 02
123,3,3,9,33,High 123,03,High,High 03
124,3,3,9,33,High 124,04,High,High 04
125,3,3,9,33,High 125,05,High,High 05
126,3,3,9,33,High 126,06,High,High 06
127,3,3,9,33,High 127,07,High,High 07
128,3,3,9,33,High 128,08,High,High 08
129,3,3,9,33,High 129,09,High,High 09
130,3,3,9,33,High 130,10,High,High 10
131,3,4,12,34,Very High 131,01,Very High,Very High 01
132,3,4,12,34,Very High 132,02,Very High,Very High 02
133,3,4,12,34,Very High 133,03,Very High,Very High 03
134,3,4,12,34,Very High 134,04,Very High,Very High 04
135,3,4,12,34,Very High 135,05,Very High,Very High 05
136,3,4,12,34,Very High 136,06,Very High,Very High 06
137,3,4,12,34,Very High 137,07,Very High,Very High 07
138,3,4,12,34,Very High 138,08,Very High,Very High 08
139,3,4,12,34,Very High 139,09,Very High,Very High 09
140,3,4,12,34,Very High 140,10,Very High,Very High 10
141,3,5,15,35,Very High 141,01,Very High,Very High 01
142,3,5,15,35,Very High 142,02,Very High,Very High 02
143,3,5,15,35,Very High 143,03,Very High,Very High 03
144,3,5,15,35,Very High 144,04,Very High,Very High 04
145,3,5,15,35,Very High 145,05,Very High,Very High 05
146,3,5,15,35,Very High 146,06,Very High,Very High 06
147,3,5,15,35,Very High 147,07,Very High,Very High 07
148,3,5,15,35,Very High 148,08,Very High,Very High 08
149,3,5,15,35,Very High 149,09,Very High,Very High 09
150,3,5,15,35,Very High 150,10,Very High,Very High 10
151,4,1,4,41,High 151,01,High,High 01
152,4,1,4,41,High 152,02,High,High 02
153,4,1,4,41,High 153,03,High,High 03
154,4,1,4,41,High 154,04,High,High 04
155,4,1,4,41,High 155,05,High,High 05
156,4,1,4,41,High 156,06,High,High 06
157,4,1,4,41,High 157,07,High,High 07
158,4,1,4,41,High 158,08,High,High 08
159,4,1,4,41,High 159,09,High,High 09
160,4,1,4,41,High 160,10,High,High 10
161,4,2,8,42,Very High 161,01,Very High,Very High 01
162,4,2,8,42,Very High 162,02,Very High,Very High 02
163,4,2,8,42,Very High 163,03,Very High,Very High 03
164,4,2,8,42,Very High 164,04,Very High,Very High 04
165,4,2,8,42,Very High 165,05,Very High,Very High 05
166,4,2,8,42,Very High 166,06,Very High,Very High 06
167,4,2,8,42,Very High 167,07,Very High,Very High 07
168,4,2,8,42,Very High 168,08,Very High,Very High 08
169,4,2,8,42,Very High 169,09,Very High,Very High 09
170,4,2,8,42,Very High 170,10,Very High,Very High 10
171,4,3,12,43,Very High 171,01,Very High,Very High 01
172,4,3,12,43,Very High 172,02,Very High,Very High 02
173,4,3,12,43,Very High 173,03,Very High,Very High 03
174,4,3,12,43,Very High 174,04,Very High,Very High 04
175,4,3,12,43,Very High 175,05,Very High,Very High 05
176,4,3,12,43,Very High 176,06,Very High,Very High 06
177,4,3,12,43,Very High 177,07,Very High,Very High 07
178,4,3,12,43,Very High 178,08,Very High,Very High 08
179,4,3,12,43,Very High 179,09,Very High,Very High 09
180,4,3,12,43,Very High 180,10,Very High,Very High 10
181,4,4,16,44,Extreme 181,01,Extreme,Extreme 01
